Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_ApiDemoProject,,,2019-02-05 12:35:18,2019-02-05 12:35:30,"12,701s",PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2019-02-05 12:35:18,2019-02-05 12:35:25,"6,671s",PASSED
"sendRequest(findTestObject(""CalculatorSoapService/Addition""))",,,2019-02-05 12:35:18,2019-02-05 12:35:22,"3,738s",PASSED
"response = sendRequestAndVerify(findTestObject(""CalculatorSoapService/Addition""))",,,2019-02-05 12:35:22,2019-02-05 12:35:24,"2,336s",PASSED
"verifyElementPropertyValue(response, ""AddResponse.AddResult"", ""6"")",,,2019-02-05 12:35:24,2019-02-05 12:35:25,"0,074s",PASSED
,,,,,,
Test Cases/TestHTTPMethods,,,2019-02-05 12:35:25,2019-02-05 12:35:28,"3,532s",PASSED
"sendRequestAndVerify(findTestObject(""UserWebService/ListUsers""))",,,2019-02-05 12:35:25,2019-02-05 12:35:26,"1,568s",PASSED
"sendRequestAndVerify(findTestObject(""UserWebService/DeleteUser""))",,,2019-02-05 12:35:26,2019-02-05 12:35:27,"0,517s",PASSED
"sendRequestAndVerify(findTestObject(""UserWebService/UpdateUser""))",,,2019-02-05 12:35:27,2019-02-05 12:35:27,"0,525s",PASSED
"sendRequestAndVerify(findTestObject(""UserWebService/CreateUser""))",,,2019-02-05 12:35:27,2019-02-05 12:35:28,"0,674s",PASSED
,,,,,,
Test Cases/ListUsersTest,,,2019-02-05 12:35:28,2019-02-05 12:35:30,"1,799s",PASSED
"sendRequest(findTestObject(""UserWebService/ListUsers""))",,,2019-02-05 12:35:28,2019-02-05 12:35:29,"0,763s",PASSED
"response = sendRequestAndVerify(findTestObject(""UserWebService/ListUsers""))",,,2019-02-05 12:35:29,2019-02-05 12:35:30,"0,670s",PASSED
"verifyElementPropertyValue(response, ""data[1].first_name"", ""Charles"")",,,2019-02-05 12:35:30,2019-02-05 12:35:30,"0,018s",PASSED
"verifyElementPropertyValue(response, ""data[2].id"", ""6"")",,,2019-02-05 12:35:30,2019-02-05 12:35:30,"0,018s",PASSED
"verifyElementsCount(response, ""data"", 3)",,,2019-02-05 12:35:30,2019-02-05 12:35:30,"0,027s",PASSED
"verifyResponseStatusCodeInRange(response, 100, 200)",,,2019-02-05 12:35:30,2019-02-05 12:35:30,"0,010s",PASSED
,,,,,,
Test Cases/GetBankDetails,,,2019-02-05 12:35:30,2019-02-05 12:35:30,"0,238s",PASSED
return null,,,2019-02-05 12:35:30,2019-02-05 12:35:30,"0,000s",PASSED
